"Sub
Type","Primary
Taxpayer #","Cnty/
DPI",Xmpt Type #1,Xmpt Type #2,Xmpt Type #3,"API No./
Proj No.",Incr,"Other Party
Taxpayer#","Other Party
Name","Liability/
API GR","Gross
Barrels","Gov Roy
Barrels","Taxable
Barrels","Gross
Value","Roy
Value","Truck
Cost","Net
Value","Type 5/14
Reduced Rate","Type 5/14
Tax Due","Loc
Num","Error
Status"
,Period: 2201,,,,,,,,,,,,,,,,,,,,
Pur,17605871155,212/NO,,,,,,18304145511,"JOHN LINDER OPERATING COMPANY, L.L.C.",YES/49.9,120,0,120,"$9,999.69",$0.00,$0.00,"$9,999.69",0,$0.00,3145,NO
Pur,32048848249,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/45.5,"5,242",1,"5,241","$439,102.75",$79.91,$0.00,"$439,022.84",0,$0.00,109,NO
,Period: 2202,,,,,,,,,,,,,,,,,,,,
Pur,32048848249,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/45.1,"4,233",1,"4,232","$393,305.98",$71.58,$0.00,"$393,234.40",0,$0.00,119,NO
,Period: 2203,,,,,,,,,,,,,,,,,,,,
Pur,17605805088,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/35.0,"5,082",0,"5,082","$551,049.84",$0.00,$0.00,"$551,049.84",0,$0.00,1057,NO
,Period: 2204,,,,,,,,,,,,,,,,,,,,
Pur,17605805088,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/42.2,"3,853",0,"3,853","$401,487.04",$0.00,$0.00,"$401,487.04",0,$0.00,2046,NO
Pur,17605871155,212/NO,,,,,,18304145511,"JOHN LINDER OPERATING COMPANY, L.L.C.",YES/48.7,127,0,127,"$12,949.21",$0.00,$0.00,"$12,949.21",0,$0.00,3149,NO
,Period: 2205,,,,,,,,,,,,,,,,,,,,
Pur,17605805088,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/43.2,"5,776",0,"5,776","$633,666.00",$0.00,$0.00,"$633,666.00",0,$0.00,1022,NO
,Period: 2206,,,,,,,,,,,,,,,,,,,,
Pur,17605805088,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/43.3,"5,227",0,"5,227","$606,452.62",$0.00,$0.00,"$606,452.62",0,$0.00,2027,NO
Pur,17605871155,212/NO,,,,,,18304145511,"JOHN LINDER OPERATING COMPANY, L.L.C.",YES/48.5,117,0,117,"$13,483.41",$0.00,$0.00,"$13,483.41",0,$0.00,3178,NO
,Period: 2207,,,,,,,,,,,,,,,,,,,,
Pur,17605805088,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/43.3,"5,579",0,"5,579","$563,144.98",$0.00,$0.00,"$563,144.98",0,$0.00,1078,NO
,Period: 2208,,,,,,,,,,,,,,,,,,,,
Pur,17605805088,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/43.3,"4,625",0,"4,625","$434,261.99",$0.00,$0.00,"$434,261.99",0,$0.00,1052,NO
Pur,17605871155,212/NO,,,,,,18304145511,"JOHN LINDER OPERATING COMPANY, L.L.C.",YES/48.0,103,0,103,"$9,491.62",$0.00,$0.00,"$9,491.62",0,$0.00,3191,NO
,Period: 2209,,,,,,,,,,,,,,,,,,,,
Pur,17605805088,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/43.1,"4,617",0,"4,617","$401,795.55",$0.00,$0.00,"$401,795.55",0,$0.00,952,NO
,Period: 2210,,,,,,,,,,,,,,,,,,,,
Pur,32048848249,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/42.9,"3,720",1,"3,719","$331,438.63",$60.32,$0.00,"$331,378.31",0,$0.00,110,NO
Pur,32085230236,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/41.9,96,1,95,"$8,446.87",$0.60,$0.00,"$8,446.27",0,$0.00,2,NO
,Period: 2211,,,,,,,,,,,,,,,,,,,,
Pur,17605871155,212/NO,,,,,,18304145511,"JOHN LINDER OPERATING COMPANY, L.L.C.",YES/51.1,126,0,126,"$10,741.40",$0.00,$0.00,"$10,741.40",0,$0.00,3074,NO
Pur,32048848249,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/43.0,"2,880",1,"2,879","$250,617.41",$45.61,$0.00,"$250,571.80",0,$0.00,69,NO
,Period: 2212,,,,,,,,,,,,,,,,,,,,
Pur,32085230236,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/42.8,"4,280",78,"4,202","$335,232.37","$6,100.89",$0.00,"$329,131.48",0,$0.00,34,NO
,Period: 2301,,,,,,,,,,,,,,,,,,,,
Pur,17605871155,212/NO,,,,,,18304145511,"JOHN LINDER OPERATING COMPANY, L.L.C.",YES/52.3,166,0,166,"$13,129.21",$0.00,$0.00,"$13,129.21",0,$0.00,3116,NO
Pur,32085230236,128/NO,,,,,,14115870413,"BLACKBRUSH O & G, LLC",YES/42.9,"6,860",1,"6,859","$534,432.03",$97.27,$0.00,"$534,334.76",0,$0.00,5,NO
